WARNING: A restricted method in java.lang.System has been called
WARNING: java.lang.System::loadLibrary has been called by com.microsoft.z3.Native in an unnamed module (file:/Users/jimmy/study/ASTRE26/lib/com.microsoft.z3.jar)
WARNING: Use --enable-native-access=ALL-UNNAMED to avoid a warning for callers in this module
WARNING: Restricted methods will be blocked in a future release unless native access is enabled

[0,0s] error_74 (total 1)
Wrote logs/Problem12_concolic.csv (1 unique errors)
[0,1s] error_67 (total 2)
Wrote logs/Problem12_concolic.csv (2 unique errors)
[0,4s] error_65 (total 3)
Wrote logs/Problem12_concolic.csv (3 unique errors)
[concolic] iter=200 branches=234 sat=40 unsat=194 queued=0 errors=3
[concolic] iter=400 branches=238 sat=42 unsat=196 queued=0 errors=3
[concolic] iter=600 branches=238 sat=42 unsat=196 queued=0 errors=3
[7,3s] error_87 (total 4)
Wrote logs/Problem12_concolic.csv (4 unique errors)
[concolic] iter=800 branches=240 sat=42 unsat=198 queued=0 errors=4
[concolic] iter=1000 branches=240 sat=42 unsat=198 queued=0 errors=4
[concolic] iter=1200 branches=241 sat=43 unsat=198 queued=0 errors=4
[concolic] iter=1400 branches=241 sat=43 unsat=198 queued=0 errors=4
[concolic] iter=1600 branches=241 sat=43 unsat=198 queued=0 errors=4
[concolic] iter=1800 branches=246 sat=46 unsat=200 queued=0 errors=4
[concolic] iter=2000 branches=251 sat=48 unsat=203 queued=0 errors=4
[concolic] iter=2200 branches=251 sat=48 unsat=203 queued=0 errors=4
[concolic] iter=2400 branches=251 sat=48 unsat=203 queued=0 errors=4
[concolic] iter=2600 branches=251 sat=48 unsat=203 queued=0 errors=4
[concolic] iter=2800 branches=251 sat=48 unsat=203 queued=0 errors=4
[concolic] iter=3000 branches=251 sat=48 unsat=203 queued=0 errors=4
[concolic] iter=3200 branches=251 sat=48 unsat=203 queued=0 errors=4
[concolic] iter=3400 branches=251 sat=48 unsat=203 queued=0 errors=4
[concolic] iter=3600 branches=251 sat=48 unsat=203 queued=0 errors=4
[concolic] iter=3800 branches=251 sat=48 unsat=203 queued=0 errors=4
[concolic] iter=4000 branches=251 sat=48 unsat=203 queued=0 errors=4
[concolic] iter=4200 branches=251 sat=48 unsat=203 queued=0 errors=4
[concolic] iter=4400 branches=251 sat=48 unsat=203 queued=0 errors=4
[concolic] iter=4600 branches=251 sat=48 unsat=203 queued=0 errors=4
[concolic] iter=4800 branches=251 sat=48 unsat=203 queued=0 errors=4
[concolic] iter=5000 branches=251 sat=48 unsat=203 queued=0 errors=4
[concolic] iter=5200 branches=251 sat=48 unsat=203 queued=0 errors=4
[concolic] iter=5400 branches=251 sat=48 unsat=203 queued=0 errors=4
[concolic] iter=5600 branches=251 sat=48 unsat=203 queued=0 errors=4
[concolic] iter=5800 branches=251 sat=48 unsat=203 queued=0 errors=4
[concolic] iter=6000 branches=251 sat=48 unsat=203 queued=0 errors=4
[concolic] iter=6200 branches=251 sat=48 unsat=203 queued=0 errors=4
[concolic] iter=6400 branches=251 sat=48 unsat=203 queued=0 errors=4
[concolic] iter=6600 branches=251 sat=48 unsat=203 queued=0 errors=4
[concolic] iter=6800 branches=251 sat=48 unsat=203 queued=0 errors=4
