generation,best_fitness,median_fitness
0,0.036027,0.036027
1,0.035540,0.036027
2,0.035540,0.036027
3,0.035540,0.035540
4,0.034567,0.035540
5,0.034567,0.035540
6,0.034567,0.035540
7,0.034080,0.035054
8,0.034080,0.034567
9,0.033593,0.034567
10,0.033593,0.034080
11,0.033106,0.034080
12,0.033106,0.034080
13,0.033106,0.033593
14,0.033106,0.033593
15,0.033106,0.033593
16,0.033106,0.033106
17,0.033106,0.033106
18,0.033106,0.033106
19,0.033106,0.033106
20,0.033106,0.033593
21,0.033106,0.033106
22,0.033106,0.033106
23,0.033106,0.033106
24,0.033106,0.033106
25,0.033106,0.033106
26,0.033106,0.033106
27,0.033106,0.033106
28,0.033106,0.033106
29,0.033106,0.033106
30,0.033106,0.033106
31,0.033106,0.033106
32,0.033106,0.033106
33,0.033106,0.033106
34,0.033106,0.033106
35,0.033106,0.033106
36,0.033106,0.033106
37,0.033106,0.033106
38,0.033106,0.033106
39,0.033106,0.033106
40,0.033106,0.033106
41,0.033106,0.033106
42,0.033106,0.033106
43,0.033106,0.033106
44,0.033106,0.033106
45,0.033106,0.033106
46,0.033106,0.033106
47,0.033106,0.033106
48,0.033106,0.033106
49,0.033106,0.033106
50,0.033106,0.033106
51,0.033106,0.033593
52,0.032619,0.033106
53,0.032619,0.033106
54,0.032619,0.033106
55,0.032619,0.033106
56,0.032619,0.033106
57,0.032619,0.033106
58,0.032619,0.033106
59,0.032619,0.032619
60,0.032619,0.033106
61,0.032619,0.033106
62,0.032619,0.033106
63,0.032619,0.032619
64,0.032619,0.033106
65,0.032619,0.032619
66,0.032619,0.032619
67,0.032619,0.033106
68,0.032619,0.033106
69,0.032619,0.033106
70,0.032619,0.032619
71,0.032619,0.032619
72,0.032619,0.032619
73,0.032619,0.033106
74,0.032619,0.033106
75,0.032619,0.032619
76,0.032619,0.033106
77,0.032619,0.033106
78,0.032619,0.033106
79,0.032619,0.032619
80,0.032619,0.033106
81,0.032619,0.033106
82,0.032619,0.033106
83,0.032619,0.033106
84,0.032619,0.033106
85,0.028238,0.033106
86,0.025803,0.032619
87,0.025803,0.032619
88,0.025803,0.032619
89,0.025316,0.026777
90,0.025316,0.026290
91,0.025316,0.025803
92,0.025316,0.025803
93,0.025316,0.025803
94,0.025316,0.025803
95,0.025316,0.025803
96,0.025316,0.025803
97,0.025316,0.025316
98,0.025316,0.025316
99,0.025316,0.025803
100,0.025316,0.025316
101,0.025316,0.025803
102,0.025316,0.025803
103,0.025316,0.025803
104,0.025316,0.025803
105,0.025316,0.025803
106,0.025316,0.025803
107,0.025316,0.025803
108,0.025316,0.025803
109,0.025316,0.025803
110,0.025316,0.025803
111,0.025316,0.025803
112,0.025316,0.025803
113,0.025316,0.025803
114,0.025316,0.025803
115,0.025316,0.025803
116,0.025316,0.025803
117,0.025316,0.025803
118,0.025316,0.025803
119,0.025316,0.025803
120,0.025316,0.026290
121,0.025316,0.025803
122,0.025316,0.025803
123,0.025316,0.025803
124,0.025316,0.025803
125,0.025316,0.025803
126,0.025316,0.025803
127,0.025316,0.026290
128,0.025316,0.025803
129,0.025316,0.025803
130,0.025316,0.026290
131,0.025316,0.026290
132,0.025316,0.025803
133,0.025316,0.025803
134,0.025316,0.025803
135,0.025316,0.025803
136,0.025316,0.025803
137,0.025316,0.025803
138,0.025316,0.025803
139,0.025316,0.025803
140,0.025316,0.026290
141,0.025316,0.025803
142,0.025316,0.025316
143,0.025316,0.025803
144,0.025316,0.025803
145,0.025316,0.025803
146,0.025316,0.025803
147,0.025316,0.025803
148,0.025316,0.025316
149,0.025316,0.025316
150,0.025316,0.025316
151,0.025316,0.025803
152,0.025316,0.025803
153,0.025316,0.025803
154,0.025316,0.025803
155,0.025316,0.025803
156,0.025316,0.025803
157,0.025316,0.025803
158,0.025316,0.025803
159,0.025316,0.025803
160,0.025316,0.025316
161,0.025316,0.025316
162,0.025316,0.025803
163,0.025316,0.025803
164,0.025316,0.025803
165,0.025316,0.025803
166,0.025316,0.025803
