generation,best_fitness,median_fitness
0,0.159030,0.183288
1,0.145553,0.183288
2,0.145553,0.161725
3,0.145553,0.169811
4,0.145553,0.172507
5,0.145553,0.172507
6,0.145553,0.169811
7,0.145553,0.169811
8,0.145553,0.172507
9,0.145553,0.145553
10,0.145553,0.148248
11,0.145553,0.169811
12,0.145553,0.169811
13,0.145553,0.169811
14,0.145553,0.172507
15,0.145553,0.169811
16,0.145553,0.169811
17,0.145553,0.169811
18,0.145553,0.169811
19,0.145553,0.169811
20,0.145553,0.169811
21,0.145553,0.169811
22,0.145553,0.169811
23,0.145553,0.172507
24,0.145553,0.169811
25,0.145553,0.169811
26,0.145553,0.169811
27,0.145553,0.172507
28,0.145553,0.169811
29,0.145553,0.172507
30,0.145553,0.172507
31,0.145553,0.169811
32,0.145553,0.148248
33,0.145553,0.169811
34,0.145553,0.169811
35,0.145553,0.148248
36,0.145553,0.169811
37,0.145553,0.169811
38,0.145553,0.169811
39,0.145553,0.148248
40,0.145553,0.145553
41,0.145553,0.148248
42,0.145553,0.169811
43,0.145553,0.169811
44,0.145553,0.145553
45,0.145553,0.169811
46,0.145553,0.145553
47,0.145553,0.169811
48,0.145553,0.169811
49,0.145553,0.169811
50,0.145553,0.169811
51,0.145553,0.172507
52,0.145553,0.172507
53,0.145553,0.169811
54,0.145553,0.172507
55,0.145553,0.148248
56,0.145553,0.169811
57,0.145553,0.172507
58,0.040431,0.169811
59,0.040431,0.148248
60,0.040431,0.172507
61,0.040431,0.148248
62,0.040431,0.072776
63,0.040431,0.072776
64,0.040431,0.067385
65,0.040431,0.043127
66,0.040431,0.043127
67,0.040431,0.067385
68,0.040431,0.043127
69,0.040431,0.067385
70,0.040431,0.040431
71,0.040431,0.067385
72,0.040431,0.067385
73,0.040431,0.067385
74,0.040431,0.040431
75,0.040431,0.040431
76,0.040431,0.043127
77,0.040431,0.043127
78,0.040431,0.067385
79,0.040431,0.043127
80,0.040431,0.040431
81,0.040431,0.067385
82,0.040431,0.067385
83,0.040431,0.043127
84,0.040431,0.067385
85,0.040431,0.043127
86,0.040431,0.067385
87,0.040431,0.067385
88,0.040431,0.043127
89,0.040431,0.067385
90,0.040431,0.043127
91,0.040431,0.067385
92,0.040431,0.067385
93,0.040431,0.067385
94,0.040431,0.043127
95,0.040431,0.043127
96,0.040431,0.043127
97,0.040431,0.043127
98,0.040431,0.177898
99,0.040431,0.072776
100,0.040431,0.043127
101,0.040431,0.067385
102,0.040431,0.040431
103,0.040431,0.067385
104,0.040431,0.043127
105,0.040431,0.043127
106,0.040431,0.067385
107,0.040431,0.070081
108,0.040431,0.067385
109,0.040431,0.067385
110,0.040431,0.043127
111,0.040431,0.067385
112,0.040431,0.067385
113,0.040431,0.070081
114,0.040431,0.067385
115,0.040431,0.067385
116,0.040431,0.067385
117,0.040431,0.072776
118,0.040431,0.067385
119,0.040431,0.067385
120,0.040431,0.067385
121,0.040431,0.067385
122,0.040431,0.045822
123,0.040431,0.043127
124,0.040431,0.067385
125,0.040431,0.067385
126,0.040431,0.067385
127,0.040431,0.067385
128,0.040431,0.067385
129,0.040431,0.040431
130,0.040431,0.040431
131,0.040431,0.067385
132,0.040431,0.043127
133,0.040431,0.067385
134,0.040431,0.043127
135,0.040431,0.043127
136,0.040431,0.043127
137,0.040431,0.043127
138,0.040431,0.067385
139,0.040431,0.067385
140,0.040431,0.067385
141,0.040431,0.043127
142,0.040431,0.067385
143,0.040431,0.043127
144,0.040431,0.067385
145,0.040431,0.067385
146,0.040431,0.043127
147,0.040431,0.067385
148,0.040431,0.040431
149,0.040431,0.067385
150,0.040431,0.043127
151,0.040431,0.067385
152,0.040431,0.067385
153,0.040431,0.043127
154,0.040431,0.067385
155,0.040431,0.067385
156,0.040431,0.043127
157,0.040431,0.043127
158,0.040431,0.040431
159,0.040431,0.067385
160,0.040431,0.067385
161,0.040431,0.067385
162,0.040431,0.043127
163,0.040431,0.043127
164,0.040431,0.043127
165,0.040431,0.067385
166,0.040431,0.067385
167,0.040431,0.067385
168,0.040431,0.072776
169,0.040431,0.043127
170,0.040431,0.043127
171,0.040431,0.072776
172,0.040431,0.067385
173,0.040431,0.067385
174,0.040431,0.067385
175,0.040431,0.040431
176,0.040431,0.067385
177,0.040431,0.067385
178,0.040431,0.040431
179,0.040431,0.070081
180,0.040431,0.043127
181,0.040431,0.067385
182,0.040431,0.067385
183,0.040431,0.043127
184,0.040431,0.072776
185,0.040431,0.043127
186,0.040431,0.067385
187,0.040431,0.043127
188,0.040431,0.067385
