ITERATION 1 | states=37 | queries=8340 | time_ms=183
ITERATION 2 | states=41 | queries=13748 | time_ms=269
ITERATION 3 | states=43 | queries=20941 | time_ms=352
ITERATION 4 | states=55 | queries=57081 | time_ms=730
ITERATION 5 | states=76 | queries=102026 | time_ms=1649
ITERATION 6 | states=87 | queries=178809 | time_ms=2581
ITERATION 7 | states=90 | queries=280475 | time_ms=3731
ITERATION 8 | states=91 | queries=543932 | time_ms=6405
ITERATION 9 | states=98 | queries=873292 | time_ms=9751
ITERATION 10 | states=101 | queries=1263634 | time_ms=13543
ITERATION 11 | states=104 | queries=3495395 | time_ms=36090
ITERATION 12 | states=106 | queries=4935952 | time_ms=51752
ITERATION 13 | states=107 | queries=7278528 | time_ms=76879
DONE | final_states=107 | total_queries=22321088 | total_time_ms=231006
