Problem,Technique,Runs,Mean,Std,Min,Max
Problem11,Random Fuzzer,5,18.0,0.0,18,18
Problem11,Hill Climber,5,17.8,0.45,17,18
Problem11,Concolic Execution,5,18.0,0.0,18,18
Problem12,Random Fuzzer,5,2.4,0.89,1,3
Problem12,Hill Climber,5,12.8,0.45,12,13
Problem12,Concolic Execution,5,1.6,1.52,0,3
Problem13,Random Fuzzer,5,22.0,0.0,22,22
Problem13,Hill Climber,5,22.0,0.0,22,22
Problem13,Concolic Execution,5,22.0,0.0,22,22
Problem14,Random Fuzzer,5,13.0,0.0,13,13
Problem14,Hill Climber,5,15.0,0.0,15,15
Problem14,Concolic Execution,5,10.4,3.44,7,15
Problem15,Random Fuzzer,5,39.0,0.0,39,39
Problem15,Hill Climber,5,31.4,8.23,17,36
Problem15,Concolic Execution,5,17.0,4.06,13,23
Problem16,Random Fuzzer,5,10.0,1.0,9,11
Problem16,Hill Climber,5,9.2,2.17,6,11
Problem16,Concolic Execution,0,,,,
Problem17,Random Fuzzer,5,30.0,0.0,30,30
Problem17,Hill Climber,5,30.0,0.0,30,30
Problem17,Concolic Execution,5,30.0,0.0,30,30
Problem18,Random Fuzzer,5,0.8,0.84,0,2
Problem18,Hill Climber,5,8.0,7.42,0,19
Problem18,Concolic Execution,5,0.0,0.0,0,0
Problem19,Random Fuzzer,5,4.2,1.3,3,6
Problem19,Hill Climber,5,5.8,2.86,2,9
Problem19,Concolic Execution,0,,,,
