Problem,Config,Runs,Mean,Std,Min,Max
Problem11,Base (reuseProb=0),5,306.0,0.0,306,306
Problem11,reuseProb=0.5,5,306.0,0.0,306,306
Problem11,reuseProb=0.7,5,306.0,0.0,306,306
Problem11,reuseProb=0.9,5,306.0,0.0,306,306
Problem12,Base (reuseProb=0),5,273.4,38.66,228,321
Problem12,reuseProb=0.5,5,314.2,9.58,305,327
Problem12,reuseProb=0.7,5,342.6,17.42,319,367
Problem12,reuseProb=0.9,5,311.0,36.55,251,349
Problem13,Base (reuseProb=0),5,402.8,0.45,402,403
Problem13,reuseProb=0.5,5,402.2,1.79,399,403
Problem13,reuseProb=0.7,5,402.0,1.22,400,403
Problem13,reuseProb=0.9,5,401.4,2.3,398,403
Problem14,Base (reuseProb=0),5,522.8,277.44,285,885
Problem14,reuseProb=0.5,5,620.6,124.48,501,769
Problem14,reuseProb=0.7,5,580.6,198.99,365,798
Problem14,reuseProb=0.9,5,566.6,138.37,450,799
Problem15,Base (reuseProb=0),5,1788.6,29.09,1750,1815
Problem15,reuseProb=0.5,5,1842.8,59.17,1760,1924
Problem15,reuseProb=0.7,5,1789.4,49.1,1756,1875
Problem15,reuseProb=0.9,5,1775.0,83.62,1668,1887
Problem17,Base (reuseProb=0),5,4791.6,232.07,4548,5122
Problem17,reuseProb=0.5,5,4612.0,216.08,4292,4840
Problem17,reuseProb=0.7,5,4855.6,196.16,4614,5065
Problem17,reuseProb=0.9,5,4650.8,113.97,4522,4785
