Problem,Config,Runs,Mean,Std,Min,Max
Problem11,Base (reuseProb=0),5,18.0,0.0,18,18
Problem11,reuseProb=0.5,5,18.0,0.0,18,18
Problem11,reuseProb=0.7,5,18.0,0.0,18,18
Problem11,reuseProb=0.9,5,18.0,0.0,18,18
Problem12,Base (reuseProb=0),5,1.6,1.52,0,3
Problem12,reuseProb=0.5,5,3.6,1.14,2,5
Problem12,reuseProb=0.7,5,6.6,1.82,4,9
Problem12,reuseProb=0.9,5,4.0,2.74,0,7
Problem13,Base (reuseProb=0),5,22.0,0.0,22,22
Problem13,reuseProb=0.5,5,21.8,0.45,21,22
Problem13,reuseProb=0.7,5,21.8,0.45,21,22
Problem13,reuseProb=0.9,5,21.4,0.89,20,22
Problem14,Base (reuseProb=0),5,10.4,3.44,7,15
Problem14,reuseProb=0.5,5,12.0,1.22,11,14
Problem14,reuseProb=0.7,5,10.8,1.92,8,13
Problem14,reuseProb=0.9,5,11.8,2.49,10,15
Problem15,Base (reuseProb=0),5,17.0,4.06,13,23
Problem15,reuseProb=0.5,5,20.6,3.91,16,25
Problem15,reuseProb=0.7,5,17.4,2.51,14,21
Problem15,reuseProb=0.9,5,18.8,5.07,12,26
Problem16,Base (reuseProb=0),0,,,,
Problem16,reuseProb=0.5,0,,,,
Problem16,reuseProb=0.7,0,,,,
Problem16,reuseProb=0.9,0,,,,
Problem17,Base (reuseProb=0),5,30.0,0.0,30,30
Problem17,reuseProb=0.5,5,30.0,0.0,30,30
Problem17,reuseProb=0.7,5,30.0,0.0,30,30
Problem17,reuseProb=0.9,5,28.6,1.14,27,30
Problem18,Base (reuseProb=0),5,0.0,0.0,0,0
Problem18,reuseProb=0.5,5,0.0,0.0,0,0
Problem18,reuseProb=0.7,5,0.0,0.0,0,0
Problem18,reuseProb=0.9,5,0.0,0.0,0,0
Problem19,Base (reuseProb=0),0,,,,
Problem19,reuseProb=0.5,0,,,,
Problem19,reuseProb=0.7,0,,,,
Problem19,reuseProb=0.9,0,,,,
